maxIterations,maxTabuCount,maxCandidates,solution,efficacy,executionTime
100,20,30,8496.01,0.13,0.41
100,60,30,8453.47,0.12,0.5
100,100,30,9798.48,0.3,0.73
130,20,30,8692.37,0.15,0.44
130,60,30,8828.83,0.17,0.66
130,100,30,8914.66,0.18,1.16
170,20,30,8495.35,0.13,0.57
170,60,30,8695.18,0.15,0.95
170,100,30,9323.9,0.24,1.88
200,20,30,8540.68,0.13,0.83
200,60,30,8437.5,0.12,1.11
200,100,30,10063.94,0.33,1.81
100,20,100,8153.98,0.08,1.13
100,60,100,7831.01,0.04,1.64
100,100,100,8492.14,0.13,2.14
130,20,100,8642.32,0.15,1.49
130,60,100,8708.91,0.15,2.36
130,100,100,8406.94,0.11,3.09
170,20,100,8506.24,0.13,2.07
170,60,100,8269.96,0.1,3.43
170,100,100,8580.8,0.14,5.3
200,20,100,8491.8,0.13,2.37
200,60,100,8794.64,0.17,4.34
200,100,100,8762.19,0.16,6.13
100,140,30,9230.11,0.22,0.84
100,160,30,9305.39,0.23,0.75
100,200,30,9538.55,0.26,1.05
130,140,30,9807.22,0.3,1.4
130,160,30,9386.71,0.24,1.07
130,200,30,9611.78,0.27,1.23
170,140,30,8840.53,0.17,1.49
170,160,30,8631.83,0.14,1.96
170,200,30,8670.62,0.15,1.55
200,140,30,8656.84,0.15,2.79
200,160,30,9346.43,0.24,2.05
200,200,30,8915.75,0.18,2.23
100,140,100,8172.05,0.08,2.46
100,160,100,9378.52,0.24,2.71
100,200,100,8775.88,0.16,2.65
130,140,100,8628.36,0.14,5.23
130,160,100,8502.33,0.13,4.21
130,200,100,8289.45,0.1,3.53
170,140,100,8559.38,0.13,4.99
170,160,100,8729.7,0.16,4.46
170,200,100,8488.55,0.13,7.87
200,140,100,8591.22,0.14,7.28
200,160,100,8714.34,0.16,6.85
200,200,100,8429.8,0.12,7.94
