maxIterations,maxTabuCount,maxCandidates,solution,efficacy,executionTime
100,20,30,39953.09,2.76,0.4
100,60,30,38780.69,2.65,0.46
100,100,30,38719.94,2.64,0.55
130,20,30,38448.61,2.62,0.39
130,60,30,36227.58,2.41,0.62
130,100,30,37422.19,2.52,1.04
170,20,30,36815.39,2.46,0.51
170,60,30,37125.18,2.49,0.78
170,100,30,38268.4,2.6,1.36
200,20,30,36297.75,2.42,0.64
200,60,30,39891.55,2.75,1.16
200,100,30,38461.96,2.62,1.95
100,20,100,37543.16,2.53,1.01
100,60,100,36352.76,2.42,1.49
100,100,100,37786.05,2.56,2.66
130,20,100,34027.6,2.2,1.32
130,60,100,36774.69,2.46,2.5
130,100,100,38462.86,2.62,3.48
170,20,100,35928.19,2.38,1.72
170,60,100,35493.52,2.34,2.59
170,100,100,36714.7,2.45,4.55
200,20,100,35085.6,2.3,2.08
200,60,100,34692.96,2.26,3.32
200,100,100,36305.24,2.42,6.43
100,140,30,38074.89,2.58,0.72
100,160,30,39201.82,2.69,1.0
100,200,30,39258.37,2.69,0.85
130,140,30,37274.38,2.51,1.12
130,160,30,39472.75,2.71,1.35
130,200,30,38054.76,2.58,1.4
170,140,30,38521.42,2.62,1.34
170,160,30,35624.98,2.35,1.46
170,200,30,37135.35,2.49,1.4
200,140,30,36939.44,2.48,1.75
200,160,30,37677.93,2.55,1.32
200,200,30,40760.76,2.84,2.05
100,140,100,36391.71,2.42,2.16
100,160,100,36905.08,2.47,1.8
100,200,100,36585.06,2.44,3.36
130,140,100,37300.55,2.51,4.24
130,160,100,37515.06,2.53,3.55
130,200,100,34698.61,2.26,4.02
170,140,100,35564.25,2.35,5.03
170,160,100,36350.22,2.42,5.06
170,200,100,35426.41,2.33,4.9
200,140,100,36821.25,2.46,9.7
200,160,100,37037.0,2.48,8.22
200,200,100,36538.61,2.44,5.65
